               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10719,            0.043306,            0.060352,           0.0072932,            0.017373,           0.0019361,            0.000398,            0.080405,            0.043739,             0.05169,              0.0017,              0.0017,              0.0847
                   1,             0.08861,             0.05119,             0.05669,             0.22955,            0.064482,            0.021216,           0.0050215,            0.070195,            0.055638,            0.047283,           0.0034913,           0.0034913,            0.068491
                   2,            0.075217,            0.042198,            0.052257,             0.47597,             0.11557,            0.056946,            0.014252,            0.085856,            0.031876,            0.042834,           0.0052738,           0.0052738,            0.052274
                   3,            0.087515,            0.037093,            0.050262,             0.40486,              0.2111,            0.096072,            0.033749,            0.063827,            0.035273,            0.042948,           0.0070473,           0.0070473,            0.036047
                   4,            0.077385,            0.036998,            0.047865,             0.41947,             0.22385,             0.11785,            0.028436,             0.05776,            0.039606,            0.037636,           0.0088119,           0.0088119,            0.019812
                   5,            0.063428,            0.035776,            0.041748,             0.26338,             0.19802,            0.057854,            0.015231,            0.063658,            0.039803,            0.038364,           0.0098763,           0.0098763,           0.0098763
                   6,            0.060383,            0.037781,            0.040905,             0.29649,             0.15966,            0.062972,            0.019302,            0.069158,            0.044753,            0.041321,           0.0098763,           0.0098763,           0.0098763
                   7,            0.052241,            0.033045,            0.034755,             0.60602,             0.44661,             0.42954,             0.18368,            0.040218,             0.03559,            0.026616,           0.0098515,           0.0098515,           0.0098515
                   8,            0.052111,            0.032767,            0.032196,             0.61244,             0.43995,             0.40769,             0.17096,            0.041041,            0.032387,            0.024612,           0.0098268,           0.0098268,           0.0098268
                   9,            0.050621,            0.031614,            0.029353,              0.7487,             0.47818,             0.52681,             0.25366,            0.035643,            0.027358,            0.020788,            0.009802,            0.009802,            0.009802
                  10,            0.046415,            0.032721,            0.026701,             0.87908,              0.4359,             0.51012,             0.26614,            0.035518,            0.032217,            0.021344,           0.0097773,           0.0097773,           0.0097773
                  11,            0.047608,            0.033365,            0.026946,             0.43648,              0.1208,            0.082886,            0.039375,            0.058722,            0.059993,            0.040221,           0.0097525,           0.0097525,           0.0097525
                  12,            0.046997,            0.036857,            0.027453,             0.72282,             0.19279,             0.19375,              0.1029,            0.047866,            0.057026,            0.052187,           0.0097278,           0.0097278,           0.0097278
                  13,            0.040405,            0.033373,            0.023196,             0.58385,            0.070059,            0.047654,            0.025637,             0.06258,            0.067181,            0.068521,            0.009703,            0.009703,            0.009703
                  14,            0.043068,            0.033038,            0.023929,            0.098048,             0.10302,            0.054583,             0.02487,            0.059991,            0.075067,            0.039471,           0.0096783,           0.0096783,           0.0096783
                  15,            0.041396,            0.031339,            0.023548,             0.78275,             0.43872,             0.48997,             0.25218,            0.032807,            0.035821,            0.019139,           0.0096535,           0.0096535,           0.0096535
                  16,            0.043742,            0.031447,            0.022802,             0.87598,             0.62026,             0.64672,             0.37357,            0.027527,            0.024306,            0.014287,           0.0096288,           0.0096288,           0.0096288
                  17,            0.042742,            0.031602,            0.020662,             0.68847,             0.21125,             0.23697,              0.1082,            0.044345,            0.053134,            0.032115,            0.009604,            0.009604,            0.009604
                  18,            0.038312,            0.030205,            0.018882,             0.81739,             0.32896,             0.42963,              0.2342,            0.032124,            0.040865,            0.023933,           0.0095793,           0.0095793,           0.0095793
                  19,             0.04271,            0.030192,            0.018724,             0.92865,             0.55889,             0.63845,             0.39504,             0.02647,            0.026186,            0.014749,           0.0095545,           0.0095545,           0.0095545
                  20,             0.04104,            0.029059,            0.019521,             0.92487,             0.62331,             0.65899,             0.37751,            0.027876,             0.02413,            0.011187,           0.0095298,           0.0095298,           0.0095298
                  21,            0.037529,            0.027724,            0.016992,             0.92451,             0.58942,             0.65839,             0.40801,            0.025739,            0.025393,            0.012115,            0.009505,            0.009505,            0.009505
                  22,            0.040453,            0.028461,            0.018941,              0.9292,             0.61836,             0.67617,             0.41217,            0.025484,            0.024239,            0.010538,           0.0094803,           0.0094803,           0.0094803
                  23,             0.03751,            0.026237,            0.017685,             0.94937,             0.58201,             0.66847,             0.42951,            0.025253,            0.025852,             0.01106,           0.0094555,           0.0094555,           0.0094555
                  24,            0.037098,            0.026253,            0.013939,             0.92029,             0.62572,             0.69082,             0.42298,            0.025184,            0.022999,            0.010663,           0.0094307,           0.0094307,           0.0094307
                  25,            0.037917,            0.026646,            0.013962,             0.92333,             0.53553,             0.61094,             0.36172,            0.028979,            0.031501,            0.013149,            0.009406,            0.009406,            0.009406
                  26,            0.034792,            0.028163,            0.012267,             0.94122,             0.63945,             0.69304,             0.45159,            0.023212,            0.022903,           0.0089747,           0.0093813,           0.0093813,           0.0093813
                  27,            0.032763,            0.026587,            0.012469,             0.84813,             0.70875,             0.77685,              0.5086,            0.023005,            0.020586,           0.0078901,           0.0093565,           0.0093565,           0.0093565
                  28,            0.036234,            0.026133,            0.014353,             0.63832,             0.81936,             0.80758,             0.53657,            0.022184,            0.020195,           0.0077707,           0.0093317,           0.0093317,           0.0093317
                  29,            0.035971,            0.026233,            0.010893,             0.62975,             0.76218,             0.77343,             0.50795,            0.023999,            0.021076,           0.0089579,            0.009307,            0.009307,            0.009307
                  30,            0.035051,            0.026562,            0.012783,             0.63789,             0.66833,             0.69189,             0.45211,            0.023052,            0.022423,           0.0085413,           0.0092823,           0.0092823,           0.0092823
                  31,            0.031969,            0.026037,            0.010562,             0.66936,             0.84458,              0.8213,              0.5428,             0.02257,            0.019844,           0.0075322,           0.0092575,           0.0092575,           0.0092575
                  32,            0.032309,            0.024839,            0.010719,             0.69664,             0.84939,              0.8288,             0.56494,            0.022206,            0.019124,           0.0069733,           0.0092327,           0.0092327,           0.0092327
                  33,            0.034143,            0.025476,            0.011519,             0.72847,             0.83899,             0.84243,             0.57361,            0.021285,            0.018797,           0.0069847,            0.009208,            0.009208,            0.009208
                  34,            0.032998,            0.024293,            0.013256,             0.73775,             0.80358,             0.82377,             0.56317,            0.021275,             0.01995,            0.006925,           0.0091833,           0.0091833,           0.0091833
                  35,            0.032359,            0.024976,             0.01195,             0.84414,             0.80028,             0.81792,             0.54836,            0.022813,            0.019859,           0.0070404,           0.0091585,           0.0091585,           0.0091585
                  36,            0.033307,            0.025172,            0.011848,             0.89491,             0.82559,             0.85075,             0.58167,             0.02223,            0.018681,           0.0061432,           0.0091337,           0.0091337,           0.0091337
                  37,            0.030668,            0.025763,            0.011742,             0.90544,              0.8262,              0.8483,               0.583,             0.02094,            0.018245,           0.0059508,            0.009109,            0.009109,            0.009109
                  38,            0.031664,             0.02543,            0.010003,             0.89554,             0.77816,             0.82472,             0.55726,            0.022388,            0.019995,           0.0059642,           0.0090843,           0.0090843,           0.0090843
                  39,            0.032422,            0.023685,            0.010642,              0.8964,              0.8248,             0.83982,             0.57891,            0.020301,            0.018468,           0.0056439,           0.0090595,           0.0090595,           0.0090595
                  40,            0.030381,            0.024017,           0.0073918,             0.93454,             0.83398,             0.85982,             0.57199,            0.020629,            0.018434,           0.0053765,           0.0090347,           0.0090347,           0.0090347
                  41,            0.034252,            0.024732,           0.0079133,             0.94387,               0.838,             0.86836,             0.58305,             0.01977,             0.01835,            0.005455,             0.00901,             0.00901,             0.00901
                  42,            0.030236,            0.024244,            0.011553,             0.93239,              0.8394,             0.86108,             0.58751,            0.019847,            0.018165,           0.0052032,           0.0089853,           0.0089853,           0.0089853
                  43,            0.031965,            0.023554,            0.010265,             0.93668,             0.78675,              0.8488,             0.54484,            0.022182,            0.021937,           0.0057563,           0.0089605,           0.0089605,           0.0089605
                  44,            0.032753,            0.024138,           0.0099935,             0.92685,             0.78099,             0.84755,             0.56531,             0.02186,            0.021211,           0.0062229,           0.0089358,           0.0089358,           0.0089358
                  45,            0.028962,            0.023958,           0.0093232,              0.8188,             0.80631,              0.8605,             0.57047,             0.02123,            0.021047,           0.0059451,            0.008911,            0.008911,            0.008911
                  46,             0.03119,            0.022967,            0.010049,             0.90954,              0.8333,             0.88647,             0.62412,            0.018506,            0.017997,           0.0050008,           0.0088863,           0.0088863,           0.0088863
                  47,            0.033215,            0.023631,           0.0088539,              0.6518,             0.69831,             0.65532,             0.44042,            0.025025,            0.022782,            0.032165,           0.0088615,           0.0088615,           0.0088615
                  48,            0.028995,            0.024604,           0.0072736,             0.93663,             0.82071,             0.87835,             0.59413,            0.021174,            0.018641,           0.0048083,           0.0088368,           0.0088368,           0.0088368
                  49,            0.034435,            0.024745,            0.008941,             0.79163,             0.89565,             0.88536,             0.60075,            0.019988,            0.019424,           0.0056438,            0.008812,            0.008812,            0.008812
                  50,            0.032349,            0.023895,           0.0093795,               0.824,             0.89322,             0.90503,             0.62124,            0.019453,            0.018105,           0.0050326,           0.0087872,           0.0087872,           0.0087872
                  51,            0.033271,            0.023707,           0.0083144,              0.8344,             0.89875,             0.92343,             0.62499,             0.02181,            0.018876,           0.0046586,           0.0087625,           0.0087625,           0.0087625
                  52,            0.031983,            0.023338,           0.0097204,             0.91796,             0.81935,             0.91329,              0.6049,            0.020905,             0.02155,           0.0050261,           0.0087378,           0.0087378,           0.0087378
                  53,            0.029489,            0.023642,            0.010182,             0.80078,             0.83791,             0.85854,             0.59148,            0.020699,            0.021041,            0.007008,            0.008713,            0.008713,            0.008713
                  54,            0.028087,            0.023832,           0.0076611,             0.89447,             0.83378,             0.85229,             0.58544,            0.020049,            0.019918,           0.0048338,           0.0086882,           0.0086882,           0.0086882
                  55,            0.030443,             0.02414,           0.0086614,             0.85491,             0.89726,             0.90507,             0.62007,            0.019163,            0.018398,           0.0044343,           0.0086635,           0.0086635,           0.0086635
                  56,            0.029663,            0.023596,           0.0085462,             0.83753,             0.91093,             0.91455,             0.63812,             0.01918,            0.018268,           0.0041466,           0.0086388,           0.0086388,           0.0086388
                  57,            0.030905,            0.024597,            0.007629,             0.77562,             0.92244,             0.91855,             0.60003,            0.022718,            0.020781,           0.0043221,            0.008614,            0.008614,            0.008614
                  58,            0.030268,            0.023839,           0.0083009,             0.86834,             0.90785,             0.92688,             0.65261,            0.018808,            0.017319,           0.0042023,           0.0085893,           0.0085893,           0.0085893
                  59,            0.029218,            0.022985,           0.0090165,             0.87805,             0.94348,             0.93785,               0.656,            0.018743,            0.017714,           0.0041068,           0.0085645,           0.0085645,           0.0085645
                  60,            0.027746,            0.023671,            0.007252,              0.8627,             0.95045,             0.94042,             0.66626,            0.017638,            0.017078,           0.0038795,           0.0085398,           0.0085398,           0.0085398
                  61,            0.027899,            0.023183,           0.0064753,              0.8696,             0.95042,              0.9436,             0.66749,            0.018877,            0.017581,           0.0037393,            0.008515,            0.008515,            0.008515
                  62,            0.027326,            0.021893,           0.0062415,             0.93044,             0.92975,             0.95627,             0.67756,             0.01773,            0.016737,           0.0035658,           0.0084903,           0.0084903,           0.0084903
                  63,            0.029787,            0.023129,           0.0061657,             0.89682,             0.87292,             0.91333,             0.63794,            0.019905,            0.019452,           0.0044191,           0.0084655,           0.0084655,           0.0084655
                  64,            0.026805,            0.023094,           0.0066548,             0.79897,              0.7167,             0.74445,             0.51028,            0.023488,            0.032993,           0.0076574,           0.0084408,           0.0084408,           0.0084408
                  65,            0.029511,            0.023462,           0.0072838,             0.91823,             0.92955,             0.94509,             0.65853,               0.019,            0.018367,           0.0036932,            0.008416,            0.008416,            0.008416
                  66,             0.02944,            0.022996,           0.0077251,             0.91226,             0.94257,             0.93342,             0.66664,            0.017925,             0.01809,           0.0034579,           0.0083913,           0.0083913,           0.0083913
                  67,            0.026942,            0.023539,           0.0077609,             0.93553,             0.92748,             0.93598,             0.66082,            0.018579,             0.01744,           0.0035094,           0.0083665,           0.0083665,           0.0083665
                  68,            0.029611,             0.02279,           0.0075125,             0.92249,             0.95486,             0.95175,             0.67653,            0.018014,            0.017022,           0.0034613,           0.0083418,           0.0083418,           0.0083418
                  69,            0.030222,            0.022543,           0.0081248,             0.91136,             0.95162,             0.94826,             0.67983,            0.018434,            0.016957,           0.0034304,            0.008317,            0.008317,            0.008317
                  70,            0.027221,            0.022438,           0.0080598,             0.92594,             0.94651,             0.95417,             0.66398,            0.020126,              0.0181,           0.0033259,           0.0082922,           0.0082922,           0.0082922
                  71,            0.029518,            0.023745,           0.0047679,             0.89442,             0.92474,             0.93605,             0.65005,            0.020896,            0.018011,           0.0036866,           0.0082675,           0.0082675,           0.0082675
                  72,            0.030035,            0.022944,            0.011584,             0.93977,             0.94547,             0.96245,             0.68198,            0.017372,            0.016518,            0.003417,           0.0082428,           0.0082428,           0.0082428
                  73,            0.028948,            0.021771,           0.0076153,             0.92649,              0.9672,             0.95557,             0.67804,            0.018097,            0.016599,           0.0031431,            0.008218,            0.008218,            0.008218
                  74,            0.027918,              0.0227,           0.0062456,             0.92331,             0.92989,              0.9471,             0.65457,            0.019439,            0.018189,           0.0031761,           0.0081932,           0.0081932,           0.0081932
                  75,            0.028612,            0.022443,           0.0067455,             0.92371,             0.91766,             0.94297,             0.66163,             0.02065,            0.018864,           0.0032188,           0.0081685,           0.0081685,           0.0081685
                  76,             0.02965,            0.022357,           0.0074727,              0.9624,             0.91265,             0.95896,             0.67376,            0.018543,            0.017389,           0.0031054,           0.0081437,           0.0081437,           0.0081437
                  77,            0.026772,            0.022354,           0.0058833,             0.94564,             0.95686,             0.96234,             0.68097,            0.017832,            0.017568,           0.0030064,            0.008119,            0.008119,            0.008119
                  78,             0.02699,            0.021976,           0.0050518,             0.93147,             0.95405,             0.95814,             0.68974,            0.018959,            0.017293,           0.0030255,           0.0080942,           0.0080942,           0.0080942
                  79,            0.026617,            0.021302,           0.0057896,             0.94286,             0.96548,             0.96834,             0.69727,            0.017946,            0.016196,           0.0030315,           0.0080695,           0.0080695,           0.0080695
                  80,            0.026781,            0.021735,           0.0059666,             0.94637,              0.9517,             0.96528,             0.70804,            0.017685,            0.016299,           0.0028971,           0.0080447,           0.0080447,           0.0080447
                  81,            0.029221,            0.021511,           0.0066316,              0.9496,             0.95759,             0.96805,             0.68104,            0.017629,            0.016666,           0.0029299,             0.00802,             0.00802,             0.00802
                  82,            0.025055,            0.021937,           0.0068624,             0.95278,             0.95593,             0.96794,             0.69691,            0.016906,            0.016484,            0.002947,           0.0079953,           0.0079953,           0.0079953
                  83,             0.02865,            0.021512,           0.0066469,             0.95567,             0.95638,             0.96432,             0.70394,            0.017406,            0.016072,           0.0028716,           0.0079705,           0.0079705,           0.0079705
